"accession" "gene" "species"
"Q05115" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"3DG9_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"2VLB_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"3DTV_B" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"Q05115.1" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_280016214.1" "aspartate/glutamate racemase family protein" "unclassified Achromobacter"
"3IXM_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_118933293.1" "aspartate/glutamate racemase family protein" "Achromobacter xylosoxidans"
"3EIS_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"3DTV_D" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_251879744.1" "aspartate/glutamate racemase family protein" "Achromobacter sp. Marseille-Q4954"
"WP_306637225.1" "aspartate/glutamate racemase family protein" "Achromobacter aegrifaciens"
"3IXL_A" "arylmalonate decarboxylase" "Bordetella bronchiseptica"
"WP_175161428.1" "aspartate/glutamate racemase family protein" "Achromobacter aegrifaciens"
"WP_310532235.1" "aspartate/glutamate racemase family protein" "Achromobacter aegrifaciens"
"WP_192328233.1" "aspartate/glutamate racemase family protein" "Achromobacter sp. ACM04"
"WP_054456370.1" "aspartate/glutamate racemase family protein" "Achromobacter aegrifaciens"
"WP_173147724.1" "aspartate/glutamate racemase family protein" "Achromobacter pestifer"
"WP_424238209.1" "aspartate/glutamate racemase family protein" "Achromobacter sp."
"WP_176090764.1" "aspartate/glutamate racemase family protein" "Achromobacter anxifer"
"WP_258128007.1" "aspartate/glutamate racemase family protein" "Achromobacter anxifer"
"WP_112965708.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
"WP_042793904.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
"WP_164794887.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
"WP_308023882.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
"WP_063962338.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
"WP_323881363.1" "aspartate/glutamate racemase family protein" "Achromobacter sp. D10"
"WP_280134043.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
"WP_063639961.1" "aspartate/glutamate racemase family protein" "Achromobacter insolitus"
